CatalogNumber,otherCatalogNumber,speciesName,Citation,verbatimLatitude,verbatimLongitude,uncertaintyinmeters,eventDate,recordedBy,specimenRemarks,stateprovince,Country,County,Locality,GeoreferenceRemarks,basisofRecord
ACCDC-231124,Coll: UNB. Acc# 40932. Col# 6535. Evid.: specimen.,Symphyotrichum tradescantii,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.6,-67.5,500,1983-08-18,"Hinds, H.R.",Abund.: common.  Pheno.: flower.,New Brunswick,Canada,York,Todd Island,Contact AC CDC for full precision data,HumanObservation
ACCDC-231436,Coll: UNB. Acc# 16419. Col# 65-27. Evid.: specimen.,Alnus incana ssp. rugosa,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.7,-67.5,500,1965-06-01,"Roberts, P.R.; Pugh, B.",Pheno.: fruit.,New Brunswick,Canada,York,Palfrey Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-231437,Coll: UNB. Acc# 14295. Col# 65-27. Evid.: specimen.,Alnus incana ssp. rugosa,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.7,-67.5,500,1965-06-01,"Roberts, P.R.; Pugh, B.",Pheno.: flower.,New Brunswick,Canada,York,Palfrey Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-231438,Coll: UNB. Acc# 17736. Col# 65-37. Evid.: specimen.,Alnus incana ssp. rugosa,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.66,-67.48,5000,1965-06-01,"Roberts, P.R.; Pugh, B.",Pheno.: flower.,New Brunswick,Canada,York,Palfrey Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-231439,Coll: UNB. Acc# 16420. Col# 65-37. Evid.: specimen.,Alnus incana ssp. rugosa,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.66,-67.48,5000,1965-06-01,"Roberts, P.R.; Pugh, B.",Pheno.: flower.,New Brunswick,Canada,York,Palfrey Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-231579,Coll: UNB. Acc# 16428. Col# 65-47. Evid.: specimen.,Betula alleghaniensis,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.66,-67.48,5000,1965-06-01,"Roberts, P.R.; Pugh, B.",,New Brunswick,Canada,York,Palfrey Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-231580,Coll: UNB. Acc# 11858. Col# 65-53. Evid.: specimen.,Betula alleghaniensis,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.66,-67.48,5000,1965-06-01,"Roberts, P.R.; Pugh, B.",,New Brunswick,Canada,York,Palfrey Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-231581,Coll: UNB. Acc# 11109. Col# 65-301. Evid.: specimen.,Betula alleghaniensis,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.66,-67.59,300,1965-06-09,"Roberts, P.R.; Pugh, B.",,New Brunswick,Canada,York,Perkins Cove,Contact AC CDC for full precision data,HumanObservation
ACCDC-232073,Coll: UNB. Acc# 16439. Col# 65-320. Evid.: specimen.,Corylus cornuta,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.66,-67.59,300,1965-06-09,"Roberts, P.R.; Pugh, B.",,New Brunswick,Canada,York,Musquash Brook,Contact AC CDC for full precision data,HumanObservation
ACCDC-232129,Coll: UNB. Acc# 16444. Col# 65-302. Evid.: specimen.,Ostrya virginiana,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.66,-67.59,300,1965-06-09,"Roberts, P.R.; Pugh, B.",,New Brunswick,Canada,York,Musquash Brook,Contact AC CDC for full precision data,HumanObservation
ACCDC-232502,Coll: UNB. Acc# 16499. Col# 65-279. Evid.: specimen.,Cardamine pensylvanica,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.66,-67.59,300,1965-06-09,"Roberts, P.R.; Pugh, B.",Pheno.: flower & fruit.,New Brunswick,Canada,York,Musquash Brook,Contact AC CDC for full precision data,HumanObservation
ACCDC-232531,Coll: UNB. Acc# 47044. Col# 9351. Evid.: specimen.,Cardamine pensylvanica,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.62,-67.48,10000,1989-08-31,"Flanders, G.; Hinds, H.R.",Abund.: rare.  Pheno.: flower & fruit.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-232771,Coll: UNB. Acc# 47043. Col# 9352. Evid.: specimen.,Rorippa palustris,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.61,-67.55,7500,1989-08-31,"Hinds, H.R.; Flanders, G.H.",Abund.: rare.  Pheno.: flower.,New Brunswick,Canada,York,Drykai Island,Contact AC CDC for full precision data,HumanObservation
ACCDC-232903,Coll: UNB. Acc# 40755. Col# 6479. Evid.: specimen.,Palustricodon aparinoides,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.64,-67.67,1000,1983-08-16,"Hinds, H.R.",Abund.: uncommon.  Pheno.: flower & fruit.,New Brunswick,Canada,York,Hickley Point,Contact AC CDC for full precision data,HumanObservation
ACCDC-232967,Coll: UNB; CAN. Acc# 47689; 526340. Col# 6947. Evid.: specimen.,Campanula intercedens,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.68,-67.46,100,1985-07-16,"Shchepanek, M.J.; Dugal, A.W.",Pheno.: flower.,New Brunswick,Canada,York,Palfrey Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-232988,Coll: UNB. Acc# 42375. Col# 6935. Evid.: specimen.,Lobelia cardinalis,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.71,-67.73,100,1984-09-03,"Hinds, H.R.",Abund.: rare.  Pheno.: flower & fruit.,New Brunswick,Canada,York,Pemberton,Contact AC CDC for full precision data,HumanObservation
ACCDC-234441,Coll: UNB. Acc# 12367. Col# 65-309. Evid.: specimen.,Viburnum lantanoides,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.66,-67.59,300,1965-06-09,"Roberts, P.R.; Pugh, B.",,New Brunswick,Canada,York,Musquash Brook,Contact AC CDC for full precision data,HumanObservation
ACCDC-234523,Coll: UNB. Acc# 12371. Col# 65-48. Evid.: specimen.,Viburnum cassinoides,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.66,-67.48,5000,1965-06-01,"Roberts, P.R.; Pugh, B.",,New Brunswick,Canada,York,Palfrey Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-234610,Coll: UNB. Acc# 40703. Col# 6498. Evid.: specimen.,Viburnum dentatum var. lucidum,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.67,-67.69,500,1983-08-15,"Hinds, H.R.",Abund.: rare.,New Brunswick,Canada,York,Cold Cove,Contact AC CDC for full precision data,HumanObservation
