CatalogNumber,otherCatalogNumber,speciesName,Citation,verbatimLatitude,verbatimLongitude,uncertaintyinmeters,eventDate,recordedBy,specimenRemarks,stateprovince,Country,County,Locality,GeoreferenceRemarks,basisofRecord
ACCDC-305027,,Potamogeton pusillus,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Klymko, J.; Blaney, C.S.; Mazerolle, D.M.",,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-305028,,Potamogeton spirillus,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Klymko, J.; Blaney, C.S.; Mazerolle, D.M.",,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-305030,,Prunella vulgaris,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Klymko, J.; Blaney, C.S.; Mazerolle, D.M.",,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-305031,,Pteridium aquilinum var. latiusculum,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Klymko, J.; Blaney, C.S.; Mazerolle, D.M.",,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-305032,,Ranunculus repens,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Klymko, J.; Blaney, C.S.; Mazerolle, D.M.",,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-305034,,Ribes glandulosum,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Klymko, J.; Blaney, C.S.; Mazerolle, D.M.",,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-305035,,Rubus idaeus,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Klymko, J.; Blaney, C.S.; Mazerolle, D.M.",,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-305037,,Rubus pubescens,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Klymko, J.; Blaney, C.S.; Mazerolle, D.M.",,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-305038,,Rumex britannica,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Klymko, J.; Blaney, C.S.; Mazerolle, D.M.",,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-305041,,Sium suave,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Klymko, J.; Blaney, C.S.; Mazerolle, D.M.",,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-305042,,Solanum dulcamara,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Klymko, J.; Blaney, C.S.; Mazerolle, D.M.",,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-305044,,Sorbus americana,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Klymko, J.; Blaney, C.S.; Mazerolle, D.M.",,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-305046,,Sparganium americanum,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Klymko, J.; Blaney, C.S.; Mazerolle, D.M.",,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-305048,,Taraxacum officinale,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Klymko, J.; Blaney, C.S.; Mazerolle, D.M.",,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-305049,,Thalictrum pubescens,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Klymko, J.; Blaney, C.S.; Mazerolle, D.M.",,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-305050,,Thuja occidentalis,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Klymko, J.; Blaney, C.S.; Mazerolle, D.M.",,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-305051,,Torreyochloa pallida var. fernaldii,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Klymko, J.; Blaney, C.S.; Mazerolle, D.M.",,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-305052,,Lysimachia borealis,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Klymko, J.; Blaney, C.S.; Mazerolle, D.M.",,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-305053,,Trifolium arvense,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Klymko, J.; Blaney, C.S.; Mazerolle, D.M.",,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-305055,,Utricularia intermedia,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Klymko, J.; Blaney, C.S.; Mazerolle, D.M.",,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-305057,,Vaccinium macrocarpon,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Klymko, J.; Blaney, C.S.; Mazerolle, D.M.",,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306379,,Abies balsamea,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306380,,Abies balsamea,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306381,,Abies balsamea,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.72,600,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306383,,Acer pensylvanicum,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306384,,Acer pensylvanicum,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: fairly common.,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306385,,Acer pensylvanicum,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.72,600,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: fairly common.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306388,,Acer rubrum,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306389,,Acer rubrum,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306390,,Acer rubrum,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.72,600,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306391,,Acer saccharum,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: fairly common.,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306393,,Achillea borealis,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306394,,Achillea borealis,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: uncommon.,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306395,,Actaea rubra,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: fairly common.,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306398,,Agrostis perennans,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: uncommon.,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306399,,Agrostis perennans,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: uncommon.,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306400,,Agrostis perennans,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.72,600,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: uncommon.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306403,,Agrostis scabra,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306404,,Agrostis scabra,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306405,,Alisma triviale,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: fairly common.,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306406,,Alisma triviale,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.72,600,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306409,,Alnus incana ssp. rugosa,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306410,,Alnus incana ssp. rugosa,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.72,600,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306413,,Anaphalis margaritacea,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: uncommon.,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306415,,Andromeda polifolia var. latifolia,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306416,,Apocynum cannabinum,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306417,,Aralia hispida,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306420,,Aralia nudicaulis,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306421,,Aralia nudicaulis,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.72,600,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306422,,Arisaema triphyllum,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: uncommon.,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306424,,Betula alleghaniensis,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306425,,Betula alleghaniensis,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306426,,Betula alleghaniensis,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.72,600,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306427,,Betula papyrifera,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306428,,Betula papyrifera,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306429,,Betula papyrifera,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.72,600,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306432,,Betula populifolia,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306433,,Betula populifolia,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306434,,Betula populifolia,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.72,600,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306436,,Bidens cernua,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: fairly common.,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306437,,Bidens cernua,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: fairly common.,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306439,,Bidens frondosa,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306440,,Bidens frondosa,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306441,,Bidens frondosa,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.72,600,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306447,,Bromus ciliatus,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: fairly common.,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306450,,Calamagrostis canadensis,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.59,1600,2006-08-22,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Bolton Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306451,,Calamagrostis canadensis,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.71,-67.72,1500,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Liddle Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-306452,,Calamagrostis canadensis,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J; Spicer, C.D. 2006. Fieldwork 2006. Atlantic Canada Conservation Data Centre. Sackville NB, 8399 recs.",45.7,-67.72,600,2006-08-23,"Mazerolle, D.M.; Blaney, C.S.; Klymko, J.",Abund.: common.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
